"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000112531","ENSG00000112531","QKI",199,411.5,4
"ENSG00000149557","ENSG00000149557","FEZ1",200,412.25,4
"ENSG00000186468","ENSG00000186468","RPS23",201,414.75,4
"ENSG00000107295","ENSG00000107295","SH3GL2",202,415.25,4
"ENSG00000103034","ENSG00000103034","NDRG4",203,415.5,4
"ENSG00000167123","ENSG00000167123","CERCAM",204,418.25,4
"ENSG00000173267","ENSG00000173267","SNCG",205,419,4
"ENSG00000068903","ENSG00000068903","SIRT2",206,422,4
"ENSG00000160932","ENSG00000160932","LY6E",207,423.75,4
"ENSG00000137409","ENSG00000137409","MTCH1",208,424.5,4
"ENSG00000166681","ENSG00000166681","BEX3",209,425,4
"ENSG00000156411","ENSG00000156411","ATP5MPL",210.5,426,4
"ENSG00000010404","ENSG00000010404","IDS",210.5,426,4
"ENSG00000196262","ENSG00000196262","PPIA",212.5,427,4
"ENSG00000130558","ENSG00000130558","OLFM1",212.5,427,4
"ENSG00000196187","ENSG00000196187","TMEM63A",214,429.25,4
"ENSG00000172508","ENSG00000172508","CARNS1",215,430.25,4
"ENSG00000104904","ENSG00000104904","OAZ1",216,431.75,4
"ENSG00000113140","ENSG00000113140","SPARC",217,433.25,4
"ENSG00000242808","ENSG00000242808","SOX2-OT",218,435,4
"ENSG00000074317","ENSG00000074317","SNCB",219,435.25,4
"ENSG00000176788","ENSG00000176788","BASP1",220,437,4
"ENSG00000105640","ENSG00000105640","RPL18A",221,438,4
"ENSG00000127824","ENSG00000127824","TUBA4A",222,438.75,4
"ENSG00000175874","ENSG00000175874","CREG2",223,439.5,4
"ENSG00000188803","ENSG00000188803","SHISA6",224,440,4
"ENSG00000241973","ENSG00000241973","PI4KA",225,440.75,4
"ENSG00000259417","ENSG00000259417","CTXND1",226,441.25,4
"ENSG00000176485","ENSG00000176485","PLAAT3",227,444,4
"ENSG00000204314","ENSG00000204314","PRRT1",228,445,4
"ENSG00000212907","ENSG00000212907","MT-ND4L",229,446.25,4
"ENSG00000185274","ENSG00000185274","GALNT17",230,448.5,4
"ENSG00000169032","ENSG00000169032","MAP2K1",231,450.5,4
"ENSG00000136999","ENSG00000136999","CCN3",232,453.75,4
"ENSG00000124614","ENSG00000124614","RPS10",233,454,4
"ENSG00000204655","ENSG00000204655","MOG",234,457,4
"ENSG00000213741","ENSG00000213741","RPS29",235,458.5,4
"ENSG00000144713","ENSG00000144713","RPL32",236,459.5,4
"ENSG00000097021","ENSG00000097021","ACOT7",237,460.75,4
"ENSG00000088986","ENSG00000088986","DYNLL1",238,463,4
"ENSG00000019505","ENSG00000019505","SYT13",239,464.25,4
"ENSG00000166963","ENSG00000166963","MAP1A",240.5,465.25,4
"ENSG00000241343","ENSG00000241343","RPL36A",240.5,465.25,4
"ENSG00000163032","ENSG00000163032","VSNL1",242,465.75,4
"ENSG00000112309","ENSG00000112309","B3GAT2",243,466,4
"ENSG00000171314","ENSG00000171314","PGAM1",244,468,4
"ENSG00000197457","ENSG00000197457","STMN3",245,470.75,4
"ENSG00000138078","ENSG00000138078","PREPL",246,473.25,4
"ENSG00000184613","ENSG00000184613","NELL2",247,477,4
"ENSG00000171132","ENSG00000171132","PRKCE",248,478,4
"ENSG00000131507","ENSG00000131507","NDFIP1",249.5,479,4
"ENSG00000133134","ENSG00000133134","BEX2",249.5,479,4
"ENSG00000163536","ENSG00000163536","SERPINI1",251,479.5,4
"ENSG00000177542","ENSG00000177542","SLC25A22",252,480.25,4
